Year,ICPSR_State_Code,Alphanumeric_State_Code,State,Turnout_Rates_VEP_Total_Ballots_Counted,Turnout_Rates_VEP_Highest_Office,Turnout_Rates_VAP_Highest_Office,Numerators_Total_Ballots_Counted,Numerators_Highest_Office,Denominators_Voting_Eligible_Population_VEP,Denominators_Voting_Age_Population_VAP_,Non_citizen,Prison,Probation,Parole,Total_Ineligible_Felon,Overseas_Eligible
1992,68,51,Wyoming,62.8,61.9,60.6,203602,200617,324253,331170,1.1,1063,3310,404,3122,
1990,0,0,United States,0,38.4,36.5,,67859189,176629259,186158841,5.5,761106,1489999,395140,1901246,2659455
1990,41,1,Alabama,,41.1,40.4,,1215889,2956385,3012797,0.7,15665,27686,5970,35478,
1990,81,2,Alaska,54.2,53.4,51.3,197540,194750,364419,379863,2.8,2622,3599,568,4990,
1990,61,3,Arizona,43.4,41.8,39,1094735,1055406,2523614,2705468,5.5,14861,30397,2711,32771,
1990,42,4,Arkansas,,40.7,39.9,,696209,1710799,1742746,0.7,7322,15983,3971,19285,
1990,71,5,California,43.5,42.4,34.9,7899131,7699420,18156500,22061053,17,97309,0,67562,164871,
1990,62,6,Colorado,44.2,43.2,41.8,1046139,1022027,2366650,2447513,2.9,7671,0,2396,10067,
1990,1,7,Connecticut,48.6,47.9,45,1159361,1141101,2383795,2538398,4.7,10500,46640,291,34111,
1990,11,8,Delaware,37.8,37,35.5,183977,180152,486760,507016,1.9,3471,12223,1283,10866,
1990,55,9,District of Columbia,38.9,38.3,34.5,171677,169066,441742,489808,7.8,9947,0,0,9947,
1990,43,10,Florida,,38.6,34.8,,3530871,9145312,10137720,8.3,44387,210781,2064,151842,
1990,44,11,Georgia,,31.6,30.2,,1449652,4588953,4803269,2.1,22411,134840,22646,112477,
1990,82,12,Hawaii,45.9,45.4,41.7,354144,349666,770836,838633,7.8,2533,0,0,2533,
1990,63,13,Idaho,47.6,46.5,45.3,328340,320610,690154,707535,2.2,1961,0,0,1961,
1990,21,14,Illinois,42.6,40.6,38.2,3420720,3257410,8029525,8535069,5.6,27516,0,0,27516,
1990,22,15,Indiana,38.4,36.8,36.3,1566371,1502687,4080236,4135602,1,12736,0,0,12736,
1990,31,16,Iowa,49.5,48.4,47.6,1004908,983933,2030935,2065490,1,3967,13895,2111,13026,
1990,32,17,Kansas,45.2,44.1,43.2,805251,786096,1783412,1821368,1.8,5775,0,0,5775,
1990,51,18,Kentucky,,33.6,33.2,,916010,2722356,2755670,0.6,9023,7482,3183,15947,
1990,45,19,Louisiana,,47.2,46.2,,1396113,2959148,3020682,1.4,18599,0,0,18599,
1990,2,20,Maine,,57.3,56.5,,522181,910982,924839,1.5,0,0,0,0,
1990,52,21,Maryland,34.5,32.7,30.6,1170867,1111088,3397126,3632477,4.5,17848,82898,11192,70489,
1990,3,22,Massachusetts,55.3,53.4,50.3,2424579,2341990,4384671,4660342,5.9,0,0,0,0,
1990,23,23,Michigan,39.5,38.3,37.3,2641649,2564563,6693069,6872954,2.1,34267,0,0,34267,
1990,33,24,Minnesota,58.8,57.6,56,1843104,1806777,3136830,3225335,1.7,3176,59323,1873,34711,
1990,46,25,Mississippi,,20.2,19.9,,368502,1824156,1850099,0.5,8375,8221,3478,15964,
